2019,"Wed, Sept 18",9:00:00 AM,1,L57,Lecture: Clinical Trials,Bart Holland
2019,"Wed, Sept 18",10:00:00 AM,1,L58,Lecture: Introduction to Statistics in Medicine,Bart Holland
2019,"Wed, Sept 18",11:00:00 AM,1,L59,Lecture: Samples and Chance (Lecture),Bart Holland
2019,"Wed, Sept 18",12:00:00 PM,1,,"Connect, Engage, and Explore our CESL Projects",Humberto Baquerizo
2019,"Wed, Sept 18",1:00:00 PM,1,W4,Probability in Medicine (Workshop & Large Group Discussion),Bart Holland
2019,"Wed, Sept 18",2:00:00 PM,1,W5,Study Design and Clinical Trials (Journal Club Workshop & Large Group Discussion),Bart Holland
2019,"Thurs, Sept 19",9:00:00 AM,1,L60,Lecture: Exploring Clinical Data 1 (Interactive Lecture-Audience Response System),Marian Passannante
2019,"Thurs, Sept 19",10:00:00 AM,1,L61,Lecture: Exploring Clinical Data 2 (Interactive Lecture),Marian Passannante
2019,"Thurs, Sept 19",11:00:00 AM,1,W6,Exploring Clinical Data 3 (Workshop and Large Group Discussion),Marian Passannante
2019,"Thurs, Sept 19",12:00:00 PM,1,,"Connect, Engage, and Explore our CESL Projects",Humberto Baquerizo
2019,"Fri, Sept 20",9:00:00 AM,1,L62,"Lecture: Lab Tests: Sensitivity, Specificity and Predictive Value",Bart Holland
2019,"Fri, Sept 20",10:00:00 AM,1,L63,Lecture: ROC Curves,Bart Holland
2019,"Fri, Sept 20",11:00:00 AM,1,W7,Lab Tests: (Workshop and Large Group Discussion),Bart Holland
2019,"Fri, Sept 20",12:00:00 PM,1,,"Connect, Engage, and Explore our CESL Projects",Humberto Baquerizo
2019,"Fri, Sept 20",1:00:00 PM,2,,Review - Unit Exam 3,MCS Faculty
2019,"Mon, Sept 23",9:00:00 AM,2,,Unit Exam 3 (L52 -L63),MCS Faculty
2019,"Mon, Sept 23",11:00:00 AM,0.5,,Post Exam Secure Review,MCS Faculty
2019,"Tues, Sept 24",9:00:00 AM,0.5,,Introduction to Physio and Pharm,Krista Blackwell
